Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
107.65629499999993,1756,,,,-1.01171875,-0.65234375,-0.171875,0.07565781700960092,,11.435621125364808,10.550847994900618,12913,0,120.65550022099843,102.30661999644427,84.792338359258,0.00395134017661272,0.00335043373227876,1.966796875,,
107.69407500000018,1757,,,,-1.07421875,0.306640625,-0.091796875,,,11.435232753878768,10.554737378438883,12911,0,120.69587857851285,,84.75194084230877,,,1.970703125,,
107.7177749999999,1758,,,,-0.8828125,-0.1171875,0.46484375,,0.4038900012512753,11.434599707741341,10.567460289187204,12913,0,120.83467833430824,,84.66699413346954,,,1.958984375,,
107.73999000000022,1759,,,,-1.484375,-0.384765625,0.375,,,11.433803581198308,10.585701585228628,12931,0,121.0348326946837,,84.64608859694194,,,1.947265625,,
107.76667499999981,1759,,,,-0.8125,-0.359375,-0.37890625,,,11.433084900468023,10.60546483661656,12936,0,121.25317988596537,,84.52387392186327,,,1.953125,,
107.78964000000013,1760,,,,-1.298828125,0.46484375,0.154296875,,,11.432048688962913,10.62880935061074,12950,0,121.50906600188627,,84.44134430965441,,,1.96484375,,
107.82374499999965,1761,,,,-1.015625,0.25,1.1328125,0.07557939369292091,,11.430480007637131,10.63985228348468,12959,0,121.61861881058391,102.56779505532148,84.33560260626433,0.003937785744866906,0.0033209553372770795,1.97265625,,
107.84703499999968,1762,,,,-1.080078125,-0.255859375,-0.025390625,,,11.42980850094898,10.664068224173928,12970,0,121.88825764336305,,84.22016015215664,,,1.978515625,,
107.86982499999972,1763,,,,-0.8359375,0.021484375,0.390625,,0.4037191587243707,11.429160472976356,10.683045577481396,12971,0,122.09824224515525,,84.07799246629814,,,1.974609375,,
107.89191999999993,1764,,,,-0.921875,0.294921875,0.3359375,,,11.428103553581543,10.699242011646508,12983,0,122.2720456539264,,84.03717315786767,,,1.96484375,,
107.9129049999998,1764,,,,-1.546875,0.015625,-0.166015625,,,11.427298551503458,10.722831145691302,12981,0,122.53299281917438,,83.8452060485898,,,1.955078125,,
107.93477000000001,1765,,,,-0.546875,-0.56640625,0.35546875,,,11.426208918993483,10.752460169852224,12997,0,122.85985629388766,,83.7272762205555,,,1.943359375,,
107.95700499999988,1766,,,,-0.8984375,0.05859375,0.53515625,0.07628827130786504,,11.424947432350745,10.77558566006687,13014,0,123.11049971905649,103.96343542596293,84.44725321009338,0.0038832802809010422,0.0032793235316701287,1.931640625,,
107.98492999999971,1767,,,,-1.46875,0.189453125,-0.00390625,,,11.42325934674903,10.795467084068374,13032,0,123.31942027060555,,84.42558119351693,,,1.919921875,,
108.00594499999983,1767,,,,-1.111328125,-0.01953125,0.02734375,,,11.422293416740905,10.811248334845377,13036,0,123.48925068185542,,84.33443287219814,,,1.91015625,,
108.0373999999999,1768,,,,-0.875,-0.41015625,0.4140625,,0.40426021467373674,11.421427621903318,10.834605117793634,13042,0,123.74665816478327,,84.19810004886695,,,1.8984375,,
108.058875,1769,,,,-0.98828125,-0.029296875,0.28515625,,,11.420562696345392,10.859749572988656,13050,0,124.02445086492705,,84.05894454895477,,,1.884765625,,
108.08509500000021,1770,,,,-0.734375,-0.18359375,0.8359375,,,11.419442938803947,10.887493664082257,13060,0,124.32911264357683,,83.91597009028776,,,1.880859375,,
108.10905500000017,1770,,,,-1.1484375,0.1875,0.0859375,0.07704202003879554,,11.418290599204163,10.910522311582763,13070,0,124.57951434275273,105.44480501922847,84.64056516476748,0.0038338561544119464,0.0032449975166984916,1.8828125,,
108.13516999999993,1770,,,,-1.037109375,-0.20703125,-0.05859375,,,11.41706961388822,10.937845803936655,13076,0,124.87814696951996,,84.47593439314518,,,1.89453125,,
108.1571799999997,1770,,,,-1.162109375,0.26953125,0.041015625,,,11.415868005274593,10.981338058062008,13089,0,125.36150579213431,,84.23613635009212,,,1.912109375,,
108.18290499999979,1770,,,,-0.890625,0.3671875,0.94921875,,0.4123342882990565,11.41470443171641,11.004014397542083,13100,0,125.6075719102948,,84.14441803694366,,,1.923828125,,
108.21327499999991,1770,,,,-1.162109375,0.09765625,0.494140625,,,11.413785401961306,11.025308229960839,13097,0,125.84050212725087,,83.96505366972431,,,1.927734375,,
108.23869500000029,1770,,,,-0.83203125,-0.015625,0.0859375,,,11.413208145717332,11.042119441197755,13106,0,126.02600755226194,,83.89992441591386,,,1.92578125,,
108.26264999999991,1770,,,,-1.162109375,-0.15234375,-0.166015625,0.07776936964184626,,11.412477594853604,11.049021952192774,13105,0,126.09671547444566,106.72488963942966,84.6373271800709,0.00386352508484318,0.003269984366742834,1.91796875,,
108.28556000000006,1770,,,,-1.3125,0,0.015625,,,11.411971650343066,11.055540554041706,13101,0,126.16551538194201,,84.56435649381085,,,1.91796875,,
108.31311500000022,1770,,,,-0.859375,0.1953125,0.888671875,,,11.411327610193565,11.071356538861234,13104,0,126.33887655420428,,84.46894988310423,,,1.931640625,,
108.34129000000004,1770,,,,-0.822265625,0.0546875,0.1484375,,0.4158978488456774,11.41104596981514,11.069911705153421,13104,0,126.3192713493004,,84.48407096265646,,,1.947265625,,
108.36392499999981,1770,,,,-1.1484375,0.08203125,0.453125,,,11.410959720095262,11.074060339969153,13105,0,126.36565647729245,,84.46050958806147,,,1.947265625,,
108.38601500000013,1770,,,,-1.3125,-0.13671875,-0.525390625,,,11.410573714234305,11.0763106960495,13103,0,126.3870596790347,,84.43316544106962,,,1.9453125,,
108.40969499999983,1770,,,,-0.724609375,-0.302734375,0.28125,0.07805763598216937,,11.410000765819035,11.068448098617905,13098,0,126.29100128165854,107.06524972194516,84.77662591585964,0.003884526958334183,0.003293170888067691,1.94140625,,
108.4426799999997,1770,,,,-1.13671875,0.34765625,0.666015625,,,11.409329770039442,11.070243836158607,13109,0,126.30406256148002,,84.83605287332358,,,1.94140625,,
108.46541999999992,1770,,,,-1.11328125,0.001953125,0.193359375,,0.4155394139893013,11.40897558231937,11.078883694689674,13100,0,126.39871355207069,,84.71506132947451,,,1.958984375,,
108.49231999999984,1770,,,,-0.84375,-0.4765625,0.087890625,,,11.408597835719666,11.08077949229122,13101,0,126.41615693384048,,84.71087085479284,,,1.970703125,,
108.51540499999979,1770,,,,-1.09375,0.150390625,0.197265625,,,11.408615808512252,11.082806154727791,13100,0,126.43947749950436,,84.69093094464206,,,1.9765625,,
108.54389000000013,1770,,,,-1.265625,-0.267578125,-0.11328125,,,11.408041704986422,11.079633046742611,13095,0,126.39691587318548,,84.68774967776439,,,1.970703125,,
108.56985499999998,1770,,,,-0.822265625,0.119140625,0.259765625,0.07820115490164185,,11.407976362271139,11.082119703698833,13103,0,126.42455962365553,107.29994840514843,84.87270885068706,0.0038726897837852363,0.003286856724882346,1.962890625,,
108.59483000000007,1770,,,,-1.111328125,0.255859375,0.60546875,,,11.40751947068559,11.093067231526918,13098,0,126.54438043326762,,84.76361704524975,,,1.962890625,,
108.61597999999998,1770,,,,-0.787109375,-0.185546875,0.451171875,,0.4153495756708779,11.406752160361691,11.098075683079658,13093,0,126.59299877382644,,84.7006330324623,,,1.974609375,,
108.63808999999985,1770,,,,-0.90625,-0.375,-0.638671875,,,11.406589808710043,11.095192582348176,13099,0,126.55831063548797,,84.76284624007037,,,1.986328125,,
